"","geneID","order","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACT30468-1","ACT30468-1",3344,3.76370973824696,-0.877983883942642,0.493585632013215,3.64484499046817,0.161633719363469,0.403511129191071
"ACT28121-1","ACT28121-1",1049,4.10244472721538,-0.873996095649553,0.591532874403709,3.63623864319867,0.162330755982318,0.404892301900982
"ACT29585-1","ACT29585-1",2494,1.42319797306369,0.250178379512026,0.825432437034523,3.63199825289841,0.162675293978698,0.405392591012402
"ACT27683-1","ACT27683-1",602,1.07669289036017,0.812381036600283,0.884060295125064,3.62590292063886,0.163171830216315,0.406270445525325
"ACT28528-1","ACT28528-1",1459,2.17420771819759,-0.655724025365992,0.581308212612079,3.61634035964863,0.163953868588063,0.407496993772272
"ACT30432-1","ACT30432-1",3307,4.6093284904424,0.211300690757715,0.414188977717388,3.61701314816989,0.163898724723222,0.407496993772272
"ACT27325-1","ACT27325-1",233,1.38313222908777,0.27861876411196,0.777166982289328,3.59460371901463,0.165745490071624,0.409300789143654
"ACT27738-1","ACT27738-1",651,1.02315290776916,-1.12169195430816,0.952742973120763,3.59449872066013,0.165754191801901,0.409300789143654
"ACT28057-1","ACT28057-1",979,1.90010447549885,-0.274497183173953,0.545238594932498,3.5930684924078,0.165872767358404,0.409300789143654
"ACT28182-1","ACT28182-1",1120,3.09912081766973,-0.246542849485688,0.445711358443428,3.59234481985779,0.165932797002466,0.409300789143654
"ACT28953-1","ACT28953-1",1884,3.99211794271402,0.982509410857829,0.598741413489141,3.59168258903047,0.165987749006411,0.409300789143654
"ACT29394-1","ACT29394-1",2308,1.70791317167024,-0.222747486297866,0.581952270055091,3.59359687499011,0.165828951006032,0.409300789143654
"ACT29794-1","ACT29794-1",2694,4.18877145435459,-0.738074889378852,0.441371105890209,3.59758925515871,0.165498255074126,0.409300789143654
"ACT29935-1","ACT29935-1",2826,21.6748386357671,-0.0669364163099937,0.214493746429362,3.59592581822793,0.165635960286907,0.409300789143654
"ACT30026-1","ACT30026-1",2918,3.61226455368483,0.516058113120499,0.499030871832372,3.59385841915619,0.165807266626567,0.409300789143654
"ACT27472-1","ACT27472-1",375,1.99732447677287,0.769798796097572,0.669114636581292,3.57454789584295,0.167415932719255,0.410981402070754
"ACT28110-1","ACT28110-1",1038,3.72410875060282,0.697930781149918,0.407564125263017,3.57126551075007,0.16769092009208,0.410981402070754
"ACT29027-1","ACT29027-1",1960,11.9550099033852,-0.39993864284628,0.252252638876255,3.57407612544401,0.16745542831797,0.410981402070754
"ACT29320-1","ACT29320-1",2233,24.3644934507623,0.335198863610214,0.190725266068046,3.57846522861728,0.167088341684667,0.410981402070754
"ACT30264-1","ACT30264-1",3142,9.34723972705072,-0.156815163824696,0.26473750871275,3.57914823262261,0.167031290423473,0.410981402070754
