"","geneID","order","baseMean","logFC.Conditionparaquat","logFC.Conditiontransient","logCPM","F","PValue","padj"
"ACT28367-1","ACT28367-1",1304,3.06839463656296,-1.4230802525917,-0.568928049315578,9.19944405945659,10.2796492797838,3.43821603273115e-05,0.00125599526552205
"ACT29956-1","ACT29956-1",2847,3.47269767566421,0.970009093571125,0.780232725224178,9.35047937451565,10.2244953524016,3.63310890242154e-05,0.00131574918095456
"ACT29690-1","ACT29690-1",2593,4.42428959778694,-1.65203721281946,-0.310005309456504,9.07810024557285,10.1838056926849,3.78393780499892e-05,0.00135866006143594
"ACT28237-1","ACT28237-1",1179,1.5604354511846,-1.27363080031015,-0.490589405042656,9.47596179071743,10.1525310977954,3.90410951394203e-05,0.00138992915831106
"ACT30561-1","ACT30561-1",3440,14.7785628679668,-1.0534856022438,-0.459649470561457,9.93136522420759,10.141112634311,3.94892941222835e-05,0.00139407163535893
"ACT27586-1","ACT27586-1",498,47.6692255970574,0.568971042769535,0.299676949212557,12.4551601245827,10.1245127009582,4.01500705206863e-05,0.00140558705214503
"ACT29530-1","ACT29530-1",2440,2.65657409172483,-1.49197917087694,-0.343031227104454,9.24425940602578,9.9809032706948,4.63484486916891e-05,0.00160917217317178
"ACT30803-1","ACT30803-1",3682,36.5062950909085,-1.86539518410036,-0.537439386080421,8.70379369285924,9.9620832013111,4.72287084283683e-05,0.0016262934762916
"ACT30198-1","ACT30198-1",3075,17.8902139184062,0.773527963683566,0.449690953403391,10.4969654459392,9.91583139752391,4.94637043660603e-05,0.00168940668326683
"ACT27802-1","ACT27802-1",714,3.08632130027633,-1.50270670478004,-1.3106431634113,8.18371241782092,9.86981843515536,5.1792102440133e-05,0.00175466630928225
"ACT29942-1","ACT29942-1",2833,1.51398185412875,-1.02446074185421,-0.576594022876658,9.76325336341483,9.85472831842227,5.25793296405594e-05,0.00176708611055992
"ACT29864-1","ACT29864-1",2763,0.699568765405702,-1.02290009861425,-0.23841543533863,10.1741870432844,9.80387138052119,5.53216397236843e-05,0.00184449371808887
"ACT28989-1","ACT28989-1",1921,0.611216383538711,-1.03810150640822,-0.535218477315635,9.80138080866446,9.75368717065898,5.81678494066214e-05,0.00190609521201525
"ACT29106-1","ACT29106-1",2039,2.12687168211704,1.12381556334421,0.507664181667635,9.1729331387984,9.74747146409762,5.85304171268667e-05,0.00190609521201525
"ACT31115-1","ACT31115-1",3993,4.9164192739243,-1.50802145963067,-0.869689512702926,8.67779481256701,9.75217346040226,5.8255938063177e-05,0.00190609521201525
"ACT27351-1","ACT27351-1",258,2.26406850904465,-1.06618395151923,-0.686597557435706,9.49025744979685,9.72709595467724,5.97348608840889e-05,0.00193035500441583
"ACT27525-1","ACT27525-1",427,0.484443140589714,-1.83443742816557,-0.740476433649934,8.51811650821775,9.64410656592684,6.49020798063085e-05,0.00208132547531528
"ACT30169-1","ACT30169-1",3045,7.25483668246725,-1.16155644964272,-1.50689083767685,8.13925386314645,9.62779089342057,6.59693574875549e-05,0.00209952477882741
"ACT27789-1","ACT27789-1",702,20.1943842489214,-3.08604972380551,-0.766681097040549,7.83882564511889,9.61303405055905,6.69497737100257e-05,0.00211470676207382
"ACT29814-1","ACT29814-1",2714,0.595504087168586,-1.52872717367921,-0.309951457546843,9.13683183622746,9.51546321872709,7.38092391042783e-05,0.00231397472744084
"ACT27734-1","ACT27734-1",647,5.10684532322074,4.47004053728734,1.62032963059462,5.79520047734694,9.49074990031674,7.5655472826644e-05,0.0023542862321832
"ACT30697-1","ACT30697-1",3577,3.94310534108719,-0.865769475247044,-0.237045789339403,10.604664505942,9.41137928072872,8.19030802617756e-05,0.00252996206014499
"ACT28032-1","ACT28032-1",955,0.838426985092752,-1.03623581882982,-0.455297018009092,9.86434927702645,9.38661744716073,8.39558486420513e-05,0.00257444175288509
